Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Bjelovarsko-bilogorska,rad od kuće (remote),DDC Multilingual Services d.o.o.,Customs Broker za nizozemski jezik (m/ž),2 dana do isteka,https://www.posao.hr/oglasi/customs-broker-za-nizozemski-jezik-m-z/709492/
Bjelovarsko-bilogorska,Hrvatska,C.P.A. srl,Predstavnik za prodaju bazena (m/ž),1 dan do isteka,https://www.posao.hr/oglasi/predstavnik-za-prodaju-bazena-m-z/708250/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Pomoćni građevinski radnik (m/ž) ,25 dana do isteka,https://www.posao.hr/oglasi/pomocni-gradevinski-radnik-m-z/710104/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Samostalni zidar (m/ž) ,25 dana do isteka,https://www.posao.hr/oglasi/samostalni-zidar-m-z/710103/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Građevinski radnik (m/ž) ,3 dana do isteka,https://www.posao.hr/oglasi/gradevinski-radnik-m-z/707438/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Knaufer / Soboslikar (m/ž) ,3 dana do isteka,https://www.posao.hr/oglasi/knaufer-soboslikar-m-z/707437/
Bjelovarsko-bilogorska,"UK, Austria, Slovenia,...",Helena Vehovec s.p.,Hotel Staff (m/f),Do popune,https://www.posao.hr/oglasi/hotel-staff-m-f/677683/
Bjelovarsko-bilogorska,Croatia & Slovenia,Helena Vehovec s.p.,Shop Staff (m/f),Do popune,https://www.posao.hr/oglasi/shop-staff-m-f/687206/
Bjelovarsko-bilogorska,"Zagreb, Hrvatska  ",Mivatech d.o.o.,Skladištar / Dostavljač (m/ž),13 dana do isteka,https://www.posao.hr/oglasi/skladistar-dostavljac-m-z/705055/
Bjelovarsko-bilogorska,"Zagreb, Hrvatska i/ili...",Mivatech d.o.o.,Instalater grijanja / Vodoinstalater (m/ž),15 dana do isteka,https://www.posao.hr/oglasi/instalater-grijanja-vodoinstalater-m-z/705215/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,"Work from Home – Kundenservice im Home-Office, Europaweit (m/w/d)",5 dana do isteka,https://www.posao.hr/oglasi/work-from-home-kundenservice-im-home-office-europaweit-m-w-d/708799/
Bjelovarsko-bilogorska,Bjelovar i okolica...,Grawe Hrvatska d.d.,Predstavnik prodaje (ž/m) ,4 dana do isteka,https://www.posao.hr/oglasi/predstavnik-prodaje-z-m/707658/
Bjelovarsko-bilogorska,cijela Hrvatska,Gromela Centar d.o.o.,Dipl. ing. građevinarstva (m/ž),3 dana do isteka,https://www.posao.hr/oglasi/dipl-ing-gradevinarstva-m-z/707122/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,Sales Profis im Home-Office gesucht // Sales & Service // Beratung (m/wd),5 dana do isteka,https://www.posao.hr/oglasi/sales-profis-im-home-office-gesucht-sales-service-beratung-m-wd/705062/
Bjelovarsko-bilogorska,Bjelovar,ESICHER d.o.o. za zastupanje u osiguranju,Terenski agent/terenska agentica prodaje za osiguranje teretnih vozila,5 dana do isteka,https://www.posao.hr/oglasi/terenski-agent-terenska-agentica-prodaje-za-osiguranje-teretnih-vozila/710651/
Grad Zagreb,Zagreb,Rursus Dignus d.o.o., Vozač taksi vozila (m/ž),14 dana do isteka,https://www.posao.hr/oglasi/vozac-taksi-vozila-m-z/710735/
Grad Zagreb,Zagreb – Kutina,Lonia trgovina d.o.o.,Direktor maloprodaje (m/ž),27 dana do isteka,https://www.posao.hr/oglasi/direktor-maloprodaje-m-z/710604/
Grad Zagreb,Zagreb – Kutina,Lonia trgovina d.o.o.,Voditelj poslovnice u nabavi (m/ž),27 dana do isteka,https://www.posao.hr/oglasi/voditelj-poslovnice-u-nabavi-m-z/710606/
Grad Zagreb,"Zagreb, Samobor, Karlovac, Koprivnica, Jasenice",Tifon d.o.o.,Gastro prodavač / Prodavač (m/ž),4 dana do isteka,https://www.posao.hr/oglasi/gastro-prodavac-prodavac-m-z/710471/
Grad Zagreb,Zagreb,Scalable Global Solutions d.o.o.,Senior Recruitment Consultant (m/f),9 dana do isteka,https://www.posao.hr/oglasi/senior-recruitment-consultant-m-f/710312/
Grad Zagreb,Zagreb,Volonterski centar Zagreb,Koordinator organizacijskog poslovanja (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/koordinator-organizacijskog-poslovanja-m-z/710112/
Grad Zagreb,Zagreb,BRUCHA GmbH,Mitarbeiter im Verkaufsinnendienst (w/m/d),8 dana do isteka,https://www.posao.hr/oglasi/mitarbeiter-im-verkaufsinnendienst-w-m-d/709824/
Grad Zagreb,Zagreb,Neborex d.o.o.,Konstruktor za izradu građevinskih nacrta (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/konstruktor-za-izradu-gradevinskih-nacrta-m-z/709975/
