Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Bjelovarsko-bilogorska,rad od kuće (remote),DDC Multilingual Services d.o.o.,Customs Broker za nizozemski jezik (m/ž),30 dana do isteka,https://www.posao.hr/oglasi/customs-broker-za-nizozemski-jezik-m-z/709492/
Bjelovarsko-bilogorska,home office,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),23 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/710885/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Pomoćni građevinski radnik (m/ž) ,23 dana do isteka,https://www.posao.hr/oglasi/pomocni-gradevinski-radnik-m-z/710104/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Samostalni zidar (m/ž) ,1 dan do isteka,https://www.posao.hr/oglasi/samostalni-zidar-m-z/710103/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Građevinski radnik (m/ž) ,1 dan do isteka,https://www.posao.hr/oglasi/gradevinski-radnik-m-z/707438/
Bjelovarsko-bilogorska,Hrvatska,Tehno Štefanović d.o.o.,Knaufer / Soboslikar (m/ž) ,33 dana do isteka,https://www.posao.hr/oglasi/knaufer-soboslikar-m-z/707437/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,Sales Profis im Home-Office gesucht // Sales & Service // Beratung (m/wd),33 dana do isteka,https://www.posao.hr/oglasi/sales-profis-im-home-office-gesucht-sales-service-beratung-m-wd/705062/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,"Work from Home – Kundenservice im Home-Office, Europaweit (m/w/d)",7 dana do isteka,https://www.posao.hr/oglasi/work-from-home-kundenservice-im-home-office-europaweit-m-w-d/708799/
Bjelovarsko-bilogorska,Remote,Tinybeans,People Operations Intern - Part Time (m/f),30 dana do isteka,https://www.posao.hr/oglasi/people-operations-intern-part-time-m-f/710742/
Bjelovarsko-bilogorska,Home Office / Zagreb / Munich,Xometry Europe GmbH,Partner Network Manager (m/f/d),Do popune,https://www.posao.hr/oglasi/partner-network-manager-m-f-d/710615/
Bjelovarsko-bilogorska,"UK, Austria, Slovenia,...",Helena Vehovec s.p.,Hotel Staff (m/f),Do popune,https://www.posao.hr/oglasi/hotel-staff-m-f/677683/
Bjelovarsko-bilogorska,Croatia & Slovenia,Helena Vehovec s.p.,Shop Staff (m/f),11 dana do isteka,https://www.posao.hr/oglasi/shop-staff-m-f/687206/
Bjelovarsko-bilogorska,"Zagreb, Hrvatska  ",Mivatech d.o.o.,Skladištar / Dostavljač (m/ž),13 dana do isteka,https://www.posao.hr/oglasi/skladistar-dostavljac-m-z/705055/
Bjelovarsko-bilogorska,"Zagreb, Hrvatska i/ili...",Mivatech d.o.o.,Instalater grijanja / Vodoinstalater (m/ž),2 dana do isteka,https://www.posao.hr/oglasi/instalater-grijanja-vodoinstalater-m-z/705215/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,Prodavač na odjelu vodoinstalaterskog materijala (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/prodavac-na-odjelu-vodoinstalaterskog-materijala-m-z/710109/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,"Prodavač na odjelu stolarije, boja i lakova (m/ž)",7 dana do isteka,https://www.posao.hr/oglasi/prodavac-na-odjelu-stolarije-boja-i-lakova-m-z/710108/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,Prodavač na odjelu keramike i sanitarne opreme (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/prodavac-na-odjelu-keramike-i-sanitarne-opreme-m-z/710107/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,Prodavač na odjelu električnih instalacija i bijele tehnike (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/prodavac-na-odjelu-elektricnih-instalacija-i-bijele-tehnike-m-z/710106/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,Prodavač građevinskog materijala (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/prodavac-gradevinskog-materijala-m-z/710105/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,Vozač kamiona s kranom (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/vozac-kamiona-s-kranom-m-z/710116/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,Vozač kamiona (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/vozac-kamiona-m-z/710111/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,Skladištar / Viljuškarist (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/skladistar-viljuskarist-m-z/710110/
Šibensko-kninska,"Makarska, Opuzen, Sinj, Šibenik, Velika Gorica",Era-Commerce d.o.o.,Pomoćni skladišni radnik (m/ž),7 dana do isteka,https://www.posao.hr/oglasi/pomocni-skladisni-radnik-m-z/710102/
Šibensko-kninska,rad od kuće (remote),DDC Multilingual Services d.o.o.,Customs Broker za nizozemski jezik (m/ž),30 dana do isteka,https://www.posao.hr/oglasi/customs-broker-za-nizozemski-jezik-m-z/709492/
Šibensko-kninska,home office,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),7 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/710885/
Šibensko-kninska,Hrvatska,Gordana M. Production j.d.o.o. ,Menadžer u međunarodnoj agenciji za glumce (m/ž),23 dana do isteka,https://www.posao.hr/oglasi/menadzer-u-medunarodnoj-agenciji-za-glumce-m-z/710881/
Šibensko-kninska,Hrvatska,Tehno Štefanović d.o.o.,Pomoćni građevinski radnik (m/ž) ,23 dana do isteka,https://www.posao.hr/oglasi/pomocni-gradevinski-radnik-m-z/710104/
Šibensko-kninska,Hrvatska,Tehno Štefanović d.o.o.,Samostalni zidar (m/ž) ,13 dana do isteka,https://www.posao.hr/oglasi/samostalni-zidar-m-z/710103/
Šibensko-kninska,Dalmacija,Vonpharma HR d.o.o.,Prodajni predstavnik za dodatke prehrani (m/ž),1 dan do isteka,https://www.posao.hr/oglasi/prodajni-predstavnik-za-dodatke-prehrani-m-z/668921/
Šibensko-kninska,Hrvatska,Tehno Štefanović d.o.o.,Građevinski radnik (m/ž) ,1 dan do isteka,https://www.posao.hr/oglasi/gradevinski-radnik-m-z/707438/
Šibensko-kninska,Hrvatska,Tehno Štefanović d.o.o.,Knaufer / Soboslikar (m/ž) ,33 dana do isteka,https://www.posao.hr/oglasi/knaufer-soboslikar-m-z/707437/
Šibensko-kninska,Europe / Home-Office /...,yoummday GmbH,Sales Profis im Home-Office gesucht // Sales & Service // Beratung (m/wd),33 dana do isteka,https://www.posao.hr/oglasi/sales-profis-im-home-office-gesucht-sales-service-beratung-m-wd/705062/
