Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Dubrovačko-neretvanska,Orebić,RIVIJERA OREBIĆ d.o.o. za usluge u turizmu,Konobar/ konobarica,10 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/751878/
Dubrovačko-neretvanska,Dubrovnik,Merit Casino d.o.o. za priređivanje igara na sreću,Operater na slot aparatima m/ž,10 dana do isteka,https://www.posao.hr/oglasi/operater-na-slot-aparatima-m-z/751506/
Dubrovačko-neretvanska,Dubrovnik,Dječji dom MASLINA,Predškolski odgajatelj/odgajateljica,1 dan do isteka,https://www.posao.hr/oglasi/predskolski-odgajatelj-odgajateljica/751478/
Dubrovačko-neretvanska,Dubrovnik,PRINTEC CROATIA društvo s ograničenom odgovornošću za...,Tehničar/ka za pos uređaje (serviser),10 dana do isteka,https://www.posao.hr/oglasi/tehnicar-ka-za-pos-uredaje-serviser/750755/
Dubrovačko-neretvanska,Orebić,"HTP OREBIĆ - D.D. ZA UGOSTITELJSTVO, TURIZAM,...",Pomoćni radnik/ radnica u održavanju,10 dana do isteka,https://www.posao.hr/oglasi/pomocni-radnik-radnica-u-odrzavanju/750700/
Dubrovačko-neretvanska,Orebić,"HTP OREBIĆ - D.D. ZA UGOSTITELJSTVO, TURIZAM,...",Spremačica/čistačica (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/spremacica-cistacica-m-z/750695/
Dubrovačko-neretvanska,Orebić,"HTP OREBIĆ - D.D. ZA UGOSTITELJSTVO, TURIZAM,...",Kuhinjski radnik/ radnica,10 dana do isteka,https://www.posao.hr/oglasi/kuhinjski-radnik-radnica/750679/
Dubrovačko-neretvanska,Orebić,"HTP OREBIĆ - D.D. ZA UGOSTITELJSTVO, TURIZAM,...",Kuhar/ kuharica,10 dana do isteka,https://www.posao.hr/oglasi/kuhar-kuharica/750512/
Dubrovačko-neretvanska,Orebić,"HTP OREBIĆ - D.D. ZA UGOSTITELJSTVO, TURIZAM,...",Kuhar/ kuharica,10 dana do isteka,https://www.posao.hr/oglasi/kuhar-kuharica/750511/
Dubrovačko-neretvanska,Orebić,"HTP OREBIĆ - D.D. ZA UGOSTITELJSTVO, TURIZAM,...",Konobar/ konobarica,10 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/750486/
Osječko-baranjska,Osijek,CRAS društvo s ograničenom odgovornošću za trgovinu i...,Elektroinstalater m/ž,10 dana do isteka,https://www.posao.hr/oglasi/elektroinstalater-m-z/747979/
Osječko-baranjska,Đakovo,"ANĐEL - PEKARSKO TRGOVAČKI OBRT, VL. FILE LEKAJ,...",Pekar/ica,41 dan do isteka,https://www.posao.hr/oglasi/pekar-ica/747310/
Osječko-baranjska,Đakovo,"LIM-MONT, LIMARSKI OBRT Vl. FRANJO PERČI",Voditelj/ica gradilišta,10 dana do isteka,https://www.posao.hr/oglasi/voditelj-ica-gradilista/742968/
Osječko-baranjska,Belišće,TEO - Belišće d.o.o. Tvornica Elektro Opreme za...,Električar-montažer/ka,41 dan do isteka,https://www.posao.hr/oglasi/elektricar-montazer-ka/741868/
Osječko-baranjska,Osijek,PERFETTO j.d.o.o. za ugostiteljstvo,Čistač/ica,10 dana do isteka,https://www.posao.hr/oglasi/cistac-ica/741451/
Osječko-baranjska,Osijek,PERFETTO j.d.o.o. za ugostiteljstvo,Kuhar/kuharica,10 dana do isteka,https://www.posao.hr/oglasi/kuhar-kuharica/741277/
Osječko-baranjska,Osijek,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Zidar/zidarica,26 dana do isteka,https://www.posao.hr/oglasi/zidar-zidarica/740669/
Osječko-baranjska,Đakovo,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Tesar / tesarica,26 dana do isteka,https://www.posao.hr/oglasi/tesar-tesarica/739611/
Osječko-baranjska,Osijek,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Armirač/armiračica,26 dana do isteka,https://www.posao.hr/oglasi/armirac-armiracica/739595/
Osječko-baranjska,Đakovo,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Armirač/armiračica,26 dana do isteka,https://www.posao.hr/oglasi/armirac-armiracica/739594/
Osječko-baranjska,Našice,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Armirač / armiračica,26 dana do isteka,https://www.posao.hr/oglasi/armirac-armiracica/739593/
Osječko-baranjska,Osijek,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Voditelj/voditeljica strojarskih radova,26 dana do isteka,https://www.posao.hr/oglasi/voditelj-voditeljica-strojarskih-radova/739408/
Osječko-baranjska,Osijek,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Voditelj/voditeljica gradilišta,26 dana do isteka,https://www.posao.hr/oglasi/voditelj-voditeljica-gradilista/739403/
Osječko-baranjska,Osijek,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Voditelj/voditeljica elektrotehničkih radova,26 dana do isteka,https://www.posao.hr/oglasi/voditelj-voditeljica-elektrotehnickih-radova/739399/
Osječko-baranjska,Našice,"PRESOFLEX GRADNJA d.o.o. za trgovinu, proizvodnju i...",Voditelj/ica strojarskih radova,26 dana do isteka,https://www.posao.hr/oglasi/voditelj-ica-strojarskih-radova/739397/
Zadarska,Zadar,I - COM društvo s ograničenom odgovornošću za...,Operater / operaterka sa znanjem talijanskog jezika,10 dana do isteka,https://www.posao.hr/oglasi/operater-operaterka-sa-znanjem-talijanskog-jezika/749260/
Zadarska,Biograd Na Moru,SOKOL d.o.o. za usluge zaštite osoba i imovine,Zaštitar / zaštitarka,4 dana do isteka,https://www.posao.hr/oglasi/zastitar-zastitarka/749336/
Zadarska,Vir,SOKOL d.o.o. za usluge zaštite osoba i imovine,Zaštitar / zaštitarka,4 dana do isteka,https://www.posao.hr/oglasi/zastitar-zastitarka/749335/
Zadarska,Zadar,"ALU MARIN, obrt za proizvodnju proizvoda od plastike...",Građevinski inženjer m/ž,3 dana do isteka,https://www.posao.hr/oglasi/gradevinski-inzenjer-m-z/749213/
Zadarska,Zadar,"KALI GRADNJA d.o.o. za građenje, proizvodnju i usluge",Rukovatelj toranjskom dizalicom (kranom),2 dana do isteka,https://www.posao.hr/oglasi/rukovatelj-toranjskom-dizalicom-kranom/749094/
Zadarska,Zadar,VIKTOR ZADAR d.o.o. za trgovinu i usluge,Pekar/pekarica,1 dan do isteka,https://www.posao.hr/oglasi/pekar-pekarica/748726/
