Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Bjelovarsko-bilogorska,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
Bjelovarsko-bilogorska,Zagreb and remotely,Scalable Global Solutions d.d.,Solution Architect (f/m/d),2021-10-01,https://www.posao.hr/oglasi/solution-architect-f-m-d/765585/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-10-03,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/764783/
Bjelovarsko-bilogorska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-10-03,https://www.posao.hr/oglasi/customer-support-specialist-m-f/764782/
Bjelovarsko-bilogorska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-10-03,https://www.posao.hr/oglasi/business-manager-m-f/764412/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Business Development Manager (m/f),2021-10-03,https://www.posao.hr/oglasi/business-development-manager-m-f/764411/
Bjelovarsko-bilogorska,Central and East Croatia and Northern B&H,VB Savjeti d.o.o.,Junior Sales Representative (m/f),2021-09-13,https://www.posao.hr/oglasi/junior-sales-representative-m-f/762867/
Varaždinska,"područje Hrvatskog zagorja; Karlovca i okolice; Rijeke, Kvarnera i Istre",Reca d.o.o.,Prodajni savjetnik za metaloprerađivački sektor (m/ž),2021-09-20,https://www.posao.hr/oglasi/prodajni-savjetnik-za-metalopreradivacki-sektor-m-z/766276/
Bjelovarsko-bilogorska,Croatia,WorkToday International BV,Recruiter (m/f),2021-09-30,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Varaždinska,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
Varaždinska,Zagreb and remotely,Scalable Global Solutions d.d.,Solution Architect (f/m/d),2021-10-01,https://www.posao.hr/oglasi/solution-architect-f-m-d/765585/
Bjelovarsko-bilogorska,Work from home,CCPORTER Sp. z o.o.,Sales Specialist with Slovenian (m/f),2021-09-30,https://www.posao.hr/oglasi/sales-specialist-with-slovenian-m-f/763224/
Bjelovarsko-bilogorska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),2021-09-29,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/762883/
Varaždinska,Ivanec,KTC d.d.,Skladišni radnik (m/ž),2021-09-25,https://www.posao.hr/oglasi/skladisni-radnik-m-z/765589/
Bjelovarsko-bilogorska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Croatian and Macedonian (m/f),2021-09-29,https://www.posao.hr/oglasi/sales-specialist-with-croatian-and-macedonian-m-f/762881/
Bjelovarsko-bilogorska,Remote,AA Euro Croatia d.o.o.,UX/UI developer (m/f),2021-10-10,https://www.posao.hr/oglasi/ux-ui-developer-m-f/766914/
Varaždinska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-10-03,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/764783/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, rad od kuće",Workforce Ljudski Potencijali d.o.o.,Agent u korisničkoj podršci na njemačkom jeziku (ž/m),2021-09-26,https://www.posao.hr/oglasi/agent-u-korisnickoj-podrsci-na-njemackom-jeziku-z-m/704650/
Varaždinska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-10-03,https://www.posao.hr/oglasi/customer-support-specialist-m-f/764782/
Zadarska,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
Bjelovarsko-bilogorska,cijela Republika Hrvatska,Kadus d.o.o.,Prodajni predstavnik (m/ž),2021-10-10,https://www.posao.hr/oglasi/prodajni-predstavnik-m-z/766486/
Varaždinska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-10-03,https://www.posao.hr/oglasi/business-manager-m-f/764412/
Zadarska,Zagreb and remotely,Scalable Global Solutions d.d.,Solution Architect (f/m/d),2021-10-01,https://www.posao.hr/oglasi/solution-architect-f-m-d/765585/
Bjelovarsko-bilogorska,Dugo Selo,Vilmar beton d.o.o.,Vozač automješalice za beton (m/ž),2021-10-09,https://www.posao.hr/oglasi/vozac-automjesalice-za-beton-m-z/765892/
Bjelovarsko-bilogorska,Hrvatska,Gobi Mont,Montažer / Serviser (m/ž),2021-09-17,https://www.posao.hr/oglasi/montazer-serviser-m-z/765882/
Varaždinska,Zagreb or remote anywhere from Croatia,Camaloon,Business Development Manager (m/f),2021-10-03,https://www.posao.hr/oglasi/business-development-manager-m-f/764411/
Varaždinska,Jalžabet,KTC d.d.,Prodavač na delikatesi (m/ž),2021-09-14,https://www.posao.hr/oglasi/prodavac-na-delikatesi-m-z/763237/
Zadarska,Zadar,Metro Cash & Carry d.o.o.,Prodavač (m/ž),2021-09-21,https://www.posao.hr/oglasi/prodavac-m-z/765203/
Bjelovarsko-bilogorska,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
Varaždinska,Varaždin,KTC d.d.,Skladišni radnik (m/ž),2021-09-30,https://www.posao.hr/oglasi/skladisni-radnik-m-z/763221/
Zadarska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-10-03,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/764783/
Bjelovarsko-bilogorska,Zagreb and remotely,Scalable Global Solutions d.d.,Solution Architect (f/m/d),2021-10-01,https://www.posao.hr/oglasi/solution-architect-f-m-d/765585/
Inozemstvo,"Njemačka, Austrija, Nizozemska, Velika Britanija",Atena - Personal s.r.o.,Njegovatelj/ica,2021-10-09,https://www.posao.hr/oglasi/njegovatelj-ica/765895/
Varaždinska,Central and East Croatia and Northern B&H,VB Savjeti d.o.o.,Junior Sales Representative (m/f),2021-09-13,https://www.posao.hr/oglasi/junior-sales-representative-m-f/762867/
Zadarska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-10-03,https://www.posao.hr/oglasi/customer-support-specialist-m-f/764782/
Bjelovarsko-bilogorska,Remote,AA Euro Croatia d.o.o.,Head of Client Services (m/f),2021-10-07,https://www.posao.hr/oglasi/head-of-client-services-m-f/765220/
Inozemstvo,"Banska Bystrica, Slovačka",Atena - Personal s.r.o.,Agent za zapošljavanje / Recruiter (m/ž),2021-10-09,https://www.posao.hr/oglasi/agent-za-zaposljavanje-recruiter-m-z/765896/
Varaždinska,Croatia,WorkToday International BV,Recruiter (m/f),2021-09-30,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Varaždinska,Work from home,CCPORTER Sp. z o.o.,Sales Specialist with Slovenian (m/f),2021-09-30,https://www.posao.hr/oglasi/sales-specialist-with-slovenian-m-f/763224/
Zagrebačka,Zagreb,American Embassy,Information Management Assistant (m/f),2021-09-20,https://www.posao.hr/oglasi/information-management-assistant-m-f/766897/
Zadarska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-10-03,https://www.posao.hr/oglasi/business-manager-m-f/764412/
Bjelovarsko-bilogorska,Remote,AA Euro Croatia d.o.o.,Full Stack / Backend Developer (m/f),2021-10-07,https://www.posao.hr/oglasi/full-stack-backend-developer-m-f/765205/
Inozemstvo,Central and East Croatia and Northern B&H,VB Savjeti d.o.o.,Junior Sales Representative (m/f),2021-09-13,https://www.posao.hr/oglasi/junior-sales-representative-m-f/762867/
Varaždinska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),2021-09-29,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/762883/
Varaždinska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Croatian and Macedonian (m/f),2021-09-29,https://www.posao.hr/oglasi/sales-specialist-with-croatian-and-macedonian-m-f/762881/
Zagrebačka,"područje Rijeke, Kvarnera i Istre, područje Zagreba i Zagrebačke županije",Reca d.o.o.,Prodajni savjetnik za autoservisni sektor (m/ž),2021-09-20,https://www.posao.hr/oglasi/prodajni-savjetnik-za-autoservisni-sektor-m-z/766280/
Zagrebačka,Zagreb,Metro Cash & Carry d.o.o.,Specijalist za suradnju s dobavljačima (m/ž),2021-09-23,https://www.posao.hr/oglasi/specijalist-za-suradnju-s-dobavljacima-m-z/765883/
Zadarska,Zagreb or remote anywhere from Croatia,Camaloon,Business Development Manager (m/f),2021-10-03,https://www.posao.hr/oglasi/business-development-manager-m-f/764411/
Bjelovarsko-bilogorska,Remote,AA Euro Croatia d.o.o.,Front End Developer (m/f),2021-10-07,https://www.posao.hr/oglasi/front-end-developer-m-f/765204/
Inozemstvo,"Austrija, Njemačka",PMS Elektrotechnik d.o.o.,Mehaničar monter (m/ž),2021-09-27,https://www.posao.hr/oglasi/mehanicar-monter-m-z/762640/
Grad Zagreb,Zagreb,American Embassy,Information Management Assistant (m/f),2021-09-20,https://www.posao.hr/oglasi/information-management-assistant-m-f/766897/
Varaždinska,"Varaždin, Zagreb ili Osijek",NTH Mobile d.o.o.,Voditelj pravnih poslova (m/ž),2021-09-24,https://www.posao.hr/oglasi/voditelj-pravnih-poslova-m-z/766913/
Zagrebačka,Zagreb,VB Savjeti d.o.o.,Sales / Service and administration assistant (m/f),2021-09-23,https://www.posao.hr/oglasi/sales-service-and-administration-assistant-m-f/765599/
Zadarska,"Zagreb, Split, Zadar",Amrest Adria d.o.o. / KFC,Djelatnik u restoranu (m/ž),2021-09-12,https://www.posao.hr/oglasi/djelatnik-u-restoranu-m-z/762079/
Zadarska,Croatia,WorkToday International BV,Recruiter (m/f),2021-09-30,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, home office",Workforce Ljudski Potencijali d.o.o.,Customer Support Specialist – Russian and English (m/f),2021-09-20,https://www.posao.hr/oglasi/customer-support-specialist-russian-and-english-m-f/758441/
Inozemstvo,"Njemačka, Švicarska, Nizozemska",PMS Elektrotechnik d.o.o.,Električar (m/ž),2021-09-30,https://www.posao.hr/oglasi/elektricar-m-z/731144/
Grad Zagreb,"područje Rijeke, Kvarnera i Istre, područje Zagreba i Zagrebačke županije",Reca d.o.o.,Prodajni savjetnik za autoservisni sektor (m/ž),2021-09-20,https://www.posao.hr/oglasi/prodajni-savjetnik-za-autoservisni-sektor-m-z/766280/
Grad Zagreb,Zagreb,Metro Cash & Carry d.o.o.,Specijalist za suradnju s dobavljačima (m/ž),2021-09-23,https://www.posao.hr/oglasi/specijalist-za-suradnju-s-dobavljacima-m-z/765883/
Varaždinska,Remote,AA Euro Croatia d.o.o.,UX/UI developer (m/f),2021-10-10,https://www.posao.hr/oglasi/ux-ui-developer-m-f/766914/
Zagrebačka,Jankomir - Zagreb,Camaloon,Procurement Manager (m/f),2021-10-08,https://www.posao.hr/oglasi/procurement-manager-m-f/765596/
Zagrebačka,Jankomir - Zagreb,Camaloon,Customer Support Coordinator (m/f),2021-10-08,https://www.posao.hr/oglasi/customer-support-coordinator-m-f/765595/
Zadarska,"Bol, Brela, Tučepi,...",Sunce hoteli d.d.,Pomoćni radnik u kuhinji (m/ž),2021-09-20,https://www.posao.hr/oglasi/pomocni-radnik-u-kuhinji-m-z/760834/
Bjelovarsko-bilogorska,Zagreb / Varaždin / home office,Workforce Ljudski Potencijali d.o.o.,Customer Support Specialist – French and English (m/f),2021-09-20,https://www.posao.hr/oglasi/customer-support-specialist-french-and-english-m-f/735364/
Sisačko-moslavačka,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
Šibensko-kninska,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
Inozemstvo,"Stockholm, Švedska",Farsta Fasad AB,Fasader (m/ž),2021-09-25,https://www.posao.hr/oglasi/fasader-m-z/762078/
Grad Zagreb,Zagreb,VB Savjeti d.o.o.,Sales / Service and administration assistant (m/f),2021-09-23,https://www.posao.hr/oglasi/sales-service-and-administration-assistant-m-f/765599/
Varaždinska,"Zagreb, Varaždin, rad od kuće",Workforce Ljudski Potencijali d.o.o.,Agent u korisničkoj podršci na njemačkom jeziku (ž/m),2021-09-26,https://www.posao.hr/oglasi/agent-u-korisnickoj-podrsci-na-njemackom-jeziku-z-m/704650/
Varaždinska,cijela Republika Hrvatska,Kadus d.o.o.,Prodajni predstavnik (m/ž),2021-10-10,https://www.posao.hr/oglasi/prodajni-predstavnik-m-z/766486/
Zagrebačka,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
Zadarska,"Bol, Starigrad-Paklenica",Sunce hoteli d.d.,Wellness terapeut (m/ž),2021-09-20,https://www.posao.hr/oglasi/wellness-terapeut-m-z/760836/
Zadarska,"Bol, Brela, Starigrad-Paklenica",Sunce hoteli d.d.,Kuhar (m/ž),2021-09-20,https://www.posao.hr/oglasi/kuhar-m-z/760833/
Sisačko-moslavačka,Zagreb and remotely,Scalable Global Solutions d.d.,Solution Architect (f/m/d),2021-10-01,https://www.posao.hr/oglasi/solution-architect-f-m-d/765585/
Sisačko-moslavačka,Kutina,KTC d.d.,Skladišni radnik (m/ž),2021-09-21,https://www.posao.hr/oglasi/skladisni-radnik-m-z/765206/
Virovitičko-podravska,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
Šibensko-kninska,Zagreb and remotely,Scalable Global Solutions d.d.,Solution Architect (f/m/d),2021-10-01,https://www.posao.hr/oglasi/solution-architect-f-m-d/765585/
Inozemstvo,"Warmenhuizen, The Netherlands",WorkToday International BV,Salad production worker (m/f),2021-09-30,https://www.posao.hr/oglasi/salad-production-worker-m-f/737713/
Grad Zagreb,Jankomir - Zagreb,Camaloon,Procurement Manager (m/f),2021-10-08,https://www.posao.hr/oglasi/procurement-manager-m-f/765596/
Varaždinska,područje Hrvatskog...,Reca d.o.o.,Prodajni savjetnik za metaloprerađivački sektor (m/ž),2021-09-20,https://www.posao.hr/oglasi/prodajni-savjetnik-za-metalopreradivacki-sektor-m-z/766276/
Zagrebačka,Zagreb and remotely,Scalable Global Solutions d.d.,Solution Architect (f/m/d),2021-10-01,https://www.posao.hr/oglasi/solution-architect-f-m-d/765585/
Zadarska,"Bol, Supetar, Brela,...",Sunce hoteli d.d.,Pomoćni konobar (m/ž),2021-09-20,https://www.posao.hr/oglasi/pomocni-konobar-m-z/760831/
Splitsko-dalmatinska,"Zagreb, Remotely",Scalable Global Solutions d.d.,Junior Developer Backend and / or Frontend (f/m/d),2021-10-01,https://www.posao.hr/oglasi/junior-developer-backend-and-or-frontend-f-m-d/765587/
