Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Bjelovarsko-bilogorska,Bjelovar,KTC d.d.,Čistač (m/ž),2021-09-08,https://www.posao.hr/oglasi/cistac-m-z/762375/
Bjelovarsko-bilogorska,Bjelovar,KTC d.d.,Konobar (m/ž),2021-09-08,https://www.posao.hr/oglasi/konobar-m-z/762366/
Bjelovarsko-bilogorska,Bjelovar,KTC d.d.,Radnik u poljoljekarni (m/ž),2021-09-07,https://www.posao.hr/oglasi/radnik-u-poljoljekarni-m-z/761772/
Bjelovarsko-bilogorska,Bjelovar,KTC d.d.,Kuhar (m/ž),2021-09-07,https://www.posao.hr/oglasi/kuhar-m-z/761755/
Bjelovarsko-bilogorska,Croatia,WorkToday International BV,Recruiter (m/f),2021-09-30,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Bjelovarsko-bilogorska,Bjelovar,KTC d.d.,Skladišni radnik (m/ž),2021-08-30,https://www.posao.hr/oglasi/skladisni-radnik-m-z/759799/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Zagrebačka,Zagreb,Metro Cash & Carry d.o.o.,Voditelj kategorije voća i povrća (m/ž),2021-09-10,https://www.posao.hr/oglasi/voditelj-kategorije-voca-i-povrca-m-z/762634/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Zagrebačka,Zagreb,Metro Cash & Carry d.o.o.,Specijalist kategorije voća i povrća (m/ž),2021-09-10,https://www.posao.hr/oglasi/specijalist-kategorije-voca-i-povrca-m-z/762632/
Zagrebačka,Zagreb,Auto Benussi d.o.o.,Prodajni savjetnik (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodajni-savjetnik-m-z/762633/
Bjelovarsko-bilogorska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Bjelovarsko-bilogorska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-09-02,https://www.posao.hr/oglasi/business-manager-m-f/757365/
Zagrebačka,Zagreb,Oglasnik d.o.o.,Social Media / Community Manager (m/ž) - studentski posao,2021-09-06,https://www.posao.hr/oglasi/social-media-community-manager-m-z-studentski-posao/761776/
Zagrebačka,"Zagreb, Zadar, Split",Amrest Adria d.o.o. / KFC,Voditelj smjene (m/ž),2021-09-09,https://www.posao.hr/oglasi/voditelj-smjene-m-z/762081/
Bjelovarsko-bilogorska,Remote work ,Sayart - Say Digital Design,Digital  Designer (m/f),2021-09-01,https://www.posao.hr/oglasi/digital-designer-m-f/762074/
Zagrebačka,"Zagreb, Split",Amrest Adria d.o.o. / KFC,Djelatnik u restoranu (m/ž),2021-09-09,https://www.posao.hr/oglasi/djelatnik-u-restoranu-m-z/762079/
Zagrebačka,Zagreb,Amrest Adria d.o.o. / KFC,Asistent u uredu (m/ž),2021-09-09,https://www.posao.hr/oglasi/asistent-u-uredu-m-z/762077/
Bjelovarsko-bilogorska,Croatia,WorkToday International BV,Recruiter (m/f),2021-09-30,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,"Velika Mlaka, inozemstvo",U.P.I. Adžaga,Vozač C+E kategorije za međunarodni transport (m/ž),2021-09-03,https://www.posao.hr/oglasi/vozac-c-e-kategorije-za-medunarodni-transport-m-z/760837/
Zagrebačka,Vrbovec,KTC d.d.,Konobar (m/ž),2021-09-07,https://www.posao.hr/oglasi/konobar-m-z/761756/
Grad Zagreb,Zagreb,Metro Cash & Carry d.o.o.,Voditelj kategorije voća i povrća (m/ž),2021-09-10,https://www.posao.hr/oglasi/voditelj-kategorije-voca-i-povrca-m-z/762634/
Bjelovarsko-bilogorska,Zagreb; Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer elektrotehnike (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-elektrotehnike-m-z/735362/
Bjelovarsko-bilogorska,Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer građevine - voditelj gradilišta u visokogradnji (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-gradevine-voditelj-gradilista-u-visokogradnji-m-z/749204/
Zagrebačka,Croatia,WorkToday International BV,Recruiter (m/f),2021-09-30,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Grad Zagreb,Zagreb,Metro Cash & Carry d.o.o.,Specijalist kategorije voća i povrća (m/ž),2021-09-10,https://www.posao.hr/oglasi/specijalist-kategorije-voca-i-povrca-m-z/762632/
Grad Zagreb,Zagreb,Auto Benussi d.o.o.,Prodajni savjetnik (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodajni-savjetnik-m-z/762633/
Bjelovarsko-bilogorska,Hrvatska,Easy Consult d.o.o.,Ugostiteljski djelatnik (m/ž),2021-08-30,https://www.posao.hr/oglasi/ugostiteljski-djelatnik-m-z/745336/
Bjelovarsko-bilogorska,Zagreb (terenski rad -...,Manpower Savjetovanje d.o.o.,Serviser za kranove i dizalice / Električar (m/ž),Do popune,https://www.posao.hr/oglasi/serviser-za-kranove-i-dizalice-elektricar-m-z/743887/
Zagrebačka,Zagreb - Jankomir,Metro Cash & Carry d.o.o.,Prodavač na svježim odjelima (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-na-svjezim-odjelima-m-z/761411/
Grad Zagreb,Zagreb,Oglasnik d.o.o.,Social Media / Community Manager (m/ž) - studentski posao,2021-09-06,https://www.posao.hr/oglasi/social-media-community-manager-m-z-studentski-posao/761776/
Grad Zagreb,"Zagreb, Zadar, Split",Amrest Adria d.o.o. / KFC,Voditelj smjene (m/ž),2021-09-09,https://www.posao.hr/oglasi/voditelj-smjene-m-z/762081/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,Home-Office Tätigkeit ab sofort // Teilzeit / Vollzeit // Sales & Service // (m/w/d),2021-08-31,https://www.posao.hr/oglasi/home-office-tatigkeit-ab-sofort-teilzeit-vollzeit-sales-service-m-w-d/705062/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,Customer Care von Zuhause - ab sofort // Remote// Freelance // Inbound //  Teilzeit & Vollzeit (m/w/d),2021-08-31,https://www.posao.hr/oglasi/customer-care-von-zuhause-ab-sofort-remote-freelance-inbound-teilzeit-vollzeit-m-w-d/708799/
Zagrebačka,Zagreb - Jankomir,Metro Cash & Carry d.o.o.,Prodavač (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-m-z/761410/
Zagrebačka,Vrbovec,KTC d.d.,"Vozač teretnog vozila - 7,5 tona i više (m/ž)",2021-08-29,https://www.posao.hr/oglasi/vozac-teretnog-vozila-75-tona-i-vise-m-z/761404/
Grad Zagreb,"Zagreb, Split",Amrest Adria d.o.o. / KFC,Djelatnik u restoranu (m/ž),2021-09-09,https://www.posao.hr/oglasi/djelatnik-u-restoranu-m-z/762079/
Zadarska,"Zagreb, Zadar, Split",Amrest Adria d.o.o. / KFC,Voditelj smjene (m/ž),2021-09-09,https://www.posao.hr/oglasi/voditelj-smjene-m-z/762081/
Bjelovarsko-bilogorska,Grubišno Polje,"PRIMA TEHNIČAR d.o.o.  za proizvodnju, trgovinu i usluge",Zavarivač/zavarivačica,2021-09-30,https://www.posao.hr/oglasi/zavarivac-zavarivacica/762781/
Zagrebačka,Zagreb,posao.hr,Savjetnik za selekciju i zapošljavanje (m/ž),2021-08-30,https://www.posao.hr/oglasi/savjetnik-za-selekciju-i-zaposljavanje-m-z/760825/
Grad Zagreb,Zagreb,Amrest Adria d.o.o. / KFC,Asistent u uredu (m/ž),2021-09-09,https://www.posao.hr/oglasi/asistent-u-uredu-m-z/762077/
Zadarska,Croatia,WorkToday International BV,Recruiter (m/f),2021-09-30,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Zadarska,Zadar,Metro Cash & Carry d.o.o.,Prodavač (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-m-z/761408/
Vukovarsko-srijemska,Croatia,WorkToday International BV,Recruiter (m/f),2021-09-30,https://www.posao.hr/oglasi/recruiter-m-f/746580/
