Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Dubrovačko-neretvanska,cijela Hrvatska,Roaming Networks,Koordinator projekta za implementaciju pasivne optičke mreže (m/ž),24.09.2021.,https://www.moj-posao.net/Posao/543100/Koordinator-projekta-za-implementaciju-pasivne-opticke-mreze-mz/
Dubrovačko-neretvanska,"cijela Hrvatska, EU",Roaming Networks,Monter za Instalaciju Radijske Mreže (m/ž),24.09.2021.,https://www.moj-posao.net/Posao/543099/Monter-za-Instalaciju-Radijske-Mreze-mz/
Dubrovačko-neretvanska,"Orebić, Šolta, Trogir, Šibenik, Kaštela, Solin, Split, Podstrana, Makarska",RIBOLA d.o.o.,Prodavač (m/ž),07.01.2022.,https://www.moj-posao.net/Posao/543009/Prodavac-mz/
Dubrovačko-neretvanska,"Zagreb, rad od kuće",M+ Connect,Specijalist korisničke podrške na danskom jeziku (m/ž),14.09.2021.,https://www.moj-posao.net/Posao/542484/Specijalist-korisnicke-podrske-na-danskom-jeziku-mz/
Dubrovačko-neretvanska,"Zagreb, rad od kuće",M+ Connect,Specijalist korisničke podrške na švedskom jeziku (m/ž),14.09.2021.,https://www.moj-posao.net/Posao/542485/Specijalist-korisnicke-podrske-na-svedskom-jeziku-mz/
Dubrovačko-neretvanska,"Zagreb, rad od kuće",M+ Connect,Specijalist korisničke podrške na njemačkom jeziku (m/ž),14.09.2021.,https://www.moj-posao.net/Posao/542486/Specijalist-korisnicke-podrske-na-njemackom-jeziku-mz/
Dubrovačko-neretvanska,"Zagreb, rad od kuće",M+ Connect,Specijalist korisničke podrške na nizozemskom jeziku (m/ž),14.09.2021.,https://www.moj-posao.net/Posao/542487/Specijalist-korisnicke-podrske-na-nizozemskom-jeziku-mz/
Dubrovačko-neretvanska,"Zagreb, rad od kuće",M+ Connect,Savjetnik u prodaji B2B usluga na poljskom jeziku (m/ž),14.09.2021.,https://www.moj-posao.net/Posao/542488/Savjetnik-u-prodaji-B2B-usluga-na-poljskom-jeziku-mz/
Dubrovačko-neretvanska,prema mjestu stanovanja,Troha Infinitus d.o.o.,Agent za poslovne korisnike na njemačkom jeziku (m/ž),03.10.2021.,https://www.moj-posao.net/Posao/542193/Agent-za-poslovne-korisnike-na-njemackom-jeziku-mz/
Dubrovačko-neretvanska,"Zagreb, Split, Dubrovnik",DEKRA za privremeno zapošljavanje d.o.o.,Dizajner rješenja za inženjering (m/ž),14.09.2021.,https://www.moj-posao.net/Posao/541471/Dizajner-rjesenja-za-inzenjering-mz/
