Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Zagreb i Zagrebačka,Rugvica,Electus DGS d.o.o.,Zaposlenik u odjelu IKEA Food (m/ž),25.10.2020.,https://www.moj-posao.net/Posao/497905/Zaposlenik-u-odjelu-IKEA-Food-mz/
Zagreb i Zagrebačka,Novo Čiče,Electus DGS d.o.o.,Inženjer građevine (m/ž),31.10.2020.,https://www.moj-posao.net/Posao/495715/Inzenjer-gradjevine-mz/
Zagreb i Zagrebačka,Zagreb,Electus DGS d.o.o.,Prodajni agent za poslovne korisnike (m/ž),26.10.2020.,https://www.moj-posao.net/Posao/497343/Prodajni-agent-za-poslovne-korisnike-mz/
Zagreb i Zagrebačka,Zagreb,Electus DGS d.o.o.,Radnik u proizvodnom pogonu (m/ž),23.10.2020.,https://www.moj-posao.net/Posao/497167/Radnik-u-proizvodnom-pogonu-mz/
Zagreb i Zagrebačka,Zagreb,Electus DGS d.o.o.,Voditelj odjela obračuna plaća (m/ž),14.11.2020.,https://www.moj-posao.net/Posao/497019/Voditelj-odjela-obracuna-placa-mz/
Zagreb i Zagrebačka,Zagreb,Electus DGS d.o.o.,Prodavač u pekari (m/ž),26.10.2020.,https://www.moj-posao.net/Posao/496429/Prodavac-u-pekari-mz/
Zagreb i Zagrebačka,Zagreb,Importanne Resort d.o.o.,Koordinator projekata (m/ž),29.10.2020.,https://www.moj-posao.net/Posao/497463/Koordinator-projekata-mz/
Splitsko-dalmatinska,cijela Hrvatska,KAMGRAD d.o.o. za graditeljstvo i trgovinu,Građevinski poslovođa (m/ž),21.11.2020.,https://www.moj-posao.net/Posao/497741/Gradjevinski-poslovodja-mz/
Zagreb i Zagrebačka,Zagreb,Importanne Resort d.o.o.,Referent u platnom prometu (m/ž),29.10.2020.,https://www.moj-posao.net/Posao/497739/Referent-u-platnom-prometu-mz/
Zagreb i Zagrebačka,Zagreb i sjeverozapadna Hrvatska,SE-MARK d.o.o.,Prodajni predstavnik za poslovne korisnike (m/ž),05.11.2020.,https://www.moj-posao.net/Posao/497830/Prodajni-predstavnik-za-poslovne-korisnike-mz/
