Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Zadarska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Vukovarsko-srijemska,Croatia,WorkToday International BV,Recruiter (m/f),2021-08-31,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,Europe / Home-Office /...,yoummday GmbH,Customer Care von Zuhause - ab sofort // Remote// Freelance // Inbound //  Teilzeit & Vollzeit (m/w/d),2021-08-27,https://www.posao.hr/oglasi/customer-care-von-zuhause-ab-sofort-remote-freelance-inbound-teilzeit-vollzeit-m-w-d/708799/
Sisačko-moslavačka,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Virovitičko-podravska,Croatia,WorkToday International BV,Recruiter (m/f),Do popune,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Virovitičko-podravska,Zagreb (terenski rad -...,Manpower Savjetovanje d.o.o.,Serviser za kranove i dizalice / Električar (m/ž),2021-08-31,https://www.posao.hr/oglasi/serviser-za-kranove-i-dizalice-elektricar-m-z/743887/
Zadarska,"Zagreb, Jasenice",Tifon d.o.o.,Gastro prodavač / Prodavač (m/ž),2021-09-10,https://www.posao.hr/oglasi/gastro-prodavac-prodavac-m-z/758760/
Zadarska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Vukovarsko-srijemska,"Velika Mlaka, inozemstvo",U.P.I. Adžaga,Vozač C+E kategorije za međunarodni transport (m/ž),2021-09-03,https://www.posao.hr/oglasi/vozac-c-e-kategorije-za-medunarodni-transport-m-z/760837/
Bjelovarsko-bilogorska,Grubišno Polje,Centar za socijalnu skrb Grubišno Polje,Socijalni radnik/socijalna radnica,2021-08-31,https://www.posao.hr/oglasi/socijalni-radnik-socijalna-radnica/761172/
Sisačko-moslavačka,Kutina,KTC d.d.,Vozač teretnog vozila (m/ž),2021-08-31,https://www.posao.hr/oglasi/vozac-teretnog-vozila-m-z/758439/
Sisačko-moslavačka,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Virovitičko-podravska,Europe / Home-Office /...,yoummday GmbH,Home-Office Tätigkeit ab sofort // Teilzeit / Vollzeit // Sales & Service // (m/w/d),2021-09-02,https://www.posao.hr/oglasi/home-office-tatigkeit-ab-sofort-teilzeit-vollzeit-sales-service-m-w-d/705062/
Virovitičko-podravska,Pitomača,IPSUS društvo s ograničenom odgovornošću za...,Pomoćni radnik/ ica montaža elektroinstalacija,2021-08-26,https://www.posao.hr/oglasi/pomocni-radnik-ica-montaza-elektroinstalacija/760692/
Splitsko-dalmatinska,Makarska,KTC-Jadran.d.o.o.,Konobar (m/ž),2021-09-06,https://www.posao.hr/oglasi/konobar-m-z/761387/
Zadarska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Zadarska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Vukovarsko-srijemska,field - Slavonia,Workforce Ljudski Potencijali d.o.o.,Heavy Equipment Sales Representative (m/f),2021-09-05,https://www.posao.hr/oglasi/heavy-equipment-sales-representative-m-f/760460/
Vukovarsko-srijemska,Zagreb; Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer elektrotehnike (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-elektrotehnike-m-z/735362/
Bjelovarsko-bilogorska,Bjelovar,INFIGO društvo s ograničenom odgovornošću za...,Pomoćni/a građevinski/a radnik/ca - armirački radovi,2021-08-27,https://www.posao.hr/oglasi/pomocni-a-gradevinski-a-radnik-ca-armiracki-radovi/761262/
Bjelovarsko-bilogorska,Grubišno Polje,Centar za socijalnu skrb Grubišno Polje,Diplomirani pravnik/pravnica,2021-08-31,https://www.posao.hr/oglasi/diplomirani-pravnik-pravnica/761167/
Sisačko-moslavačka,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Virovitičko-podravska,Virovitica,DOM ZDRAVLJA VIROVITIČKO-PODRAVSKE ŽUPANIJE,Doktor/ica medicine dentalne,2021-08-25,https://www.posao.hr/oglasi/doktor-ica-medicine-dentalne/760518/
Splitsko-dalmatinska,Baška voda,KTC-Jadran.d.o.o.,Konobar (m/ž),2021-09-06,https://www.posao.hr/oglasi/konobar-m-z/761388/
Splitsko-dalmatinska,Split,Metro Cash & Carry d.o.o.,Tehničar na odjelu održavanja (m/ž),2021-09-01,https://www.posao.hr/oglasi/tehnicar-na-odjelu-odrzavanja-m-z/760461/
Zadarska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-09-02,https://www.posao.hr/oglasi/business-manager-m-f/757365/
Zadarska,Croatia,WorkToday International BV,Recruiter (m/f),2021-08-31,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Vukovarsko-srijemska,Hrvatska - teren,Workforce Ljudski Potencijali d.o.o.,Inženjer građevine - voditelj gradilišta u visokogradnji (m/ž),2021-09-05,https://www.posao.hr/oglasi/inzenjer-gradevine-voditelj-gradilista-u-visokogradnji-m-z/749204/
Vukovarsko-srijemska,Hrvatska,Easy Consult d.o.o.,Ugostiteljski djelatnik (m/ž),2021-08-30,https://www.posao.hr/oglasi/ugostiteljski-djelatnik-m-z/745336/
Bjelovarsko-bilogorska,Stare Plavnice,"RAK D.O.O. ZA PROIZVODNJU, TRGOVINU I USLUGE",Radnik/radnica u proizvodnji,2021-08-31,https://www.posao.hr/oglasi/radnik-radnica-u-proizvodnji/761087/
Sisačko-moslavačka,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Sisačko-moslavačka,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),2021-09-02,https://www.posao.hr/oglasi/business-manager-m-f/757365/
Virovitičko-podravska,Virovitica,"OPTIMUM d.o.o. za trgovinu, proizvodnju i usluge",Prodavač/ica,2021-08-30,https://www.posao.hr/oglasi/prodavac-ica/760666/
Zagrebačka,Zagreb - Jankomir,Metro Cash & Carry d.o.o.,Prodavač na svježim odjelima (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-na-svjezim-odjelima-m-z/761411/
Splitsko-dalmatinska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Zadarska,"Bol, Starigrad-Paklenica",Sunce hoteli d.d.,Wellness terapeut (m/ž),2021-09-01,https://www.posao.hr/oglasi/wellness-terapeut-m-z/760836/
Vukovarsko-srijemska,Home office,Sunbird Images,Android or iOS developer (m/f),2021-08-25,https://www.posao.hr/oglasi/android-or-ios-developer-m-f/756089/
Vukovarsko-srijemska,Remote,AA Euro Croatia d.o.o.,Full Stack / Backend Developer (m/f),2021-08-31,https://www.posao.hr/oglasi/full-stack-backend-developer-m-f/748151/
Sisačko-moslavačka,Croatia,WorkToday International BV,Recruiter (m/f),2021-08-31,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Inozemstvo,"Monaghan, Ireland",Coyle Complete Ltd,General Operative with Mechanical Experience (m/f),2021-09-09,https://www.posao.hr/oglasi/general-operative-with-mechanical-experience-m-f/760821/
Virovitičko-podravska,Novi Senkovac,NutriS d.o.o. za proizvodnju i trgovinu,Voditelj/ica održavanja,2021-08-30,https://www.posao.hr/oglasi/voditelj-ica-odrzavanja/760151/
Virovitičko-podravska,Novi Senkovac,NutriS d.o.o. za proizvodnju i trgovinu,Operater/ka u proizvodnji,2021-09-05,https://www.posao.hr/oglasi/operater-ka-u-proizvodnji/760139/
Zagrebačka,Zagreb - Jankomir,Metro Cash & Carry d.o.o.,Prodavač (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-m-z/761410/
Splitsko-dalmatinska,Split,Hrvatski registar brodova,Inspektor-ica PU ,2021-08-31,https://www.posao.hr/oglasi/inspektor-ica-pu/757939/
Splitsko-dalmatinska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),2021-09-02,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Zadarska,"Bol, Supetar, Brela,...",Sunce hoteli d.d.,Sobarica (m/ž),2021-09-01,https://www.posao.hr/oglasi/sobarica-m-z/760835/
Zadarska,"Bol, Supetar,...",Sunce hoteli d.d.,Pomoćni radnik u kuhinji (m/ž),2021-09-01,https://www.posao.hr/oglasi/pomocni-radnik-u-kuhinji-m-z/760834/
Vukovarsko-srijemska,Croatia,WorkToday International BV,Recruiter (m/f),Do popune,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Vukovarsko-srijemska,Zagreb (terenski rad -...,Manpower Savjetovanje d.o.o.,Serviser za kranove i dizalice / Električar (m/ž),2021-08-31,https://www.posao.hr/oglasi/serviser-za-kranove-i-dizalice-elektricar-m-z/743887/
Sisačko-moslavačka,"Velika Mlaka, inozemstvo",U.P.I. Adžaga,Vozač C+E kategorije za međunarodni transport (m/ž),2021-09-03,https://www.posao.hr/oglasi/vozac-c-e-kategorije-za-medunarodni-transport-m-z/760837/
Grad Zagreb,Zagreb - Jankomir,Metro Cash & Carry d.o.o.,Prodavač na svježim odjelima (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-na-svjezim-odjelima-m-z/761411/
Inozemstvo,"Emyvale, Co Monaghan, Ireland",Coyle Complete Ltd,Commercial Panel Beater / Spray Painter (m/f),2021-09-09,https://www.posao.hr/oglasi/commercial-panel-beater-spray-painter-m-f/760820/
Inozemstvo,"Lengau (Salzburg, Austrija)",PMMG GmbH,Zavarivač MAG (m/ž/d),2021-09-06,https://www.posao.hr/oglasi/zavarivac-mag-m-z-d/759581/
Virovitičko-podravska,Bijeljevina Orahovička,CIPRIJANOVIĆ društvo s ograničenom odgovornošću za...,Voditelj/ica proizvodnje,2021-08-31,https://www.posao.hr/oglasi/voditelj-ica-proizvodnje/759841/
Zagrebačka,Vrbovec,KTC d.d.,"Vozač teretnog vozila - 7,5 tona i više (m/ž)",2021-08-29,https://www.posao.hr/oglasi/vozac-teretnog-vozila-75-tona-i-vise-m-z/761404/
Splitsko-dalmatinska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Splitsko-dalmatinska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),2021-09-02,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Zadarska,"Bol, Brela, Tučepi,...",Sunce hoteli d.d.,Kuhar (m/ž),2021-09-01,https://www.posao.hr/oglasi/kuhar-m-z/760833/
Zadarska,"Bol, Supetar, Brela,...",Sunce hoteli d.d.,Pomoćni konobar (m/ž),2021-09-01,https://www.posao.hr/oglasi/pomocni-konobar-m-z/760831/
Vukovarsko-srijemska,Europe / Home-Office /...,yoummday GmbH,Home-Office Tätigkeit ab sofort // Teilzeit / Vollzeit // Sales & Service // (m/w/d),2021-09-11,https://www.posao.hr/oglasi/home-office-tatigkeit-ab-sofort-teilzeit-vollzeit-sales-service-m-w-d/705062/
Šibensko-kninska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),2021-08-31,https://www.posao.hr/oglasi/sales-representative-m-f/760127/
Sisačko-moslavačka,Popovača,Financijska agencija,Djelatnik poslovnice - referent (m/ž),2021-08-27,https://www.posao.hr/oglasi/djelatnik-poslovnice-referent-m-z/760826/
Sisačko-moslavačka,Sisak,Ljekarne Prima Pharme,Farmaceut (m/ž),2021-09-05,https://www.posao.hr/oglasi/farmaceut-m-z/760473/
Grad Zagreb,Zagreb - Jankomir,Metro Cash & Carry d.o.o.,Prodavač (m/ž),2021-09-06,https://www.posao.hr/oglasi/prodavac-m-z/761410/
Grad Zagreb,Vrbovec,KTC d.d.,"Vozač teretnog vozila - 7,5 tona i više (m/ž)",2021-08-29,https://www.posao.hr/oglasi/vozac-teretnog-vozila-75-tona-i-vise-m-z/761404/
Inozemstvo,"Wildon (Štajerska, Austrija)",PMMG GmbH,Servisni tehničar - elektrotehničar (m/ž/d),2021-09-06,https://www.posao.hr/oglasi/servisni-tehnicar-elektrotehnicar-m-z-d/759583/
Inozemstvo,"Kaindorf/Sulm (Štajerska, Austrija)",PMMG GmbH,Električar - elektrotehničar (m/ž/d),2021-09-06,https://www.posao.hr/oglasi/elektricar-elektrotehnicar-m-z-d/759584/
Zagrebačka,Zagreb,posao.hr,Savjetnik za selekciju i zapošljavanje (m/ž),2021-08-30,https://www.posao.hr/oglasi/savjetnik-za-selekciju-i-zaposljavanje-m-z/760825/
