Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Sales Development Representative (m/f),24 dana do isteka,https://www.posao.hr/oglasi/sales-development-representative-m-f/757367/
Bjelovarsko-bilogorska,Zagreb or remote anywhere from Croatia,Camaloon,Customer Experience Specialist  (m/f),24 dana do isteka,https://www.posao.hr/oglasi/customer-experience-specialist-m-f/757366/
Bjelovarsko-bilogorska,Zagreb or remote from anywhere in Croatia,Camaloon,Business Manager (m/f),24 dana do isteka,https://www.posao.hr/oglasi/business-manager-m-f/757365/
Bjelovarsko-bilogorska,remote anywhere from Croatia,Camaloon,Customer Support Specialist (m/f),24 dana do isteka,https://www.posao.hr/oglasi/customer-support-specialist-m-f/757364/
Bjelovarsko-bilogorska,Croatia,LHR Marcin Bronowski,Sales Representative (m/f),5 dana do isteka,https://www.posao.hr/oglasi/sales-representative-m-f/757164/
Bjelovarsko-bilogorska,Zagreb - cijela RH,Metrion Projekt d.o.o.,Nadzorni inženjer (m/ž),11 dana do isteka,https://www.posao.hr/oglasi/nadzorni-inzenjer-m-z/756963/
Bjelovarsko-bilogorska,Croatia,WorkToday International BV,Recruiter (m/f),22 dana do isteka,https://www.posao.hr/oglasi/recruiter-m-f/746580/
Bjelovarsko-bilogorska,Bjelovar,KTC d.d.,Kuhar (m/ž),Danas istječe,https://www.posao.hr/oglasi/kuhar-m-z/752747/
Bjelovarsko-bilogorska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Slovenian,3 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-slovenian/753015/
Bjelovarsko-bilogorska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Croatian and Macedonian (m/f),3 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-and-macedonian-m-f/753014/
Bjelovarsko-bilogorska,remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),3 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/753013/
Bjelovarsko-bilogorska,Remote - work from home,CCPORTER Sp. z o.o.,Sales Specialist with Spanish (m/f),3 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-spanish-m-f/742927/
