Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Zagreb i Zagrebačka,Zagreb,Telemach Hrvatska d.o.o.,Administrator za prodajnu podršku (m/ž),04.08.2021.,https://www.moj-posao.net/Posao/535713/Administrator-za-prodajnu-podrsku-mz/
Zagreb i Zagrebačka,Zagreb,Telemach Hrvatska d.o.o.,Prodajni savjetnik u direktnoj prodaji (m/ž),04.08.2021.,https://www.moj-posao.net/Posao/535536/Prodajni-savjetnik-u-direktnoj-prodaji-mz/
Zagreb i Zagrebačka,Zagreb,JYSK d.o.o.,HR Business Partner (m/f),11.08.2021.,https://www.moj-posao.net/Posao/535687/HR-Business-Partner-mf/
Zagreb i Zagrebačka,"Istarska županija, Rijeka, Zagreb",Roaming Networks,Tehničar za implementaciju pasivne mreže (m/ž),04.08.2021.,https://www.moj-posao.net/Posao/535299/Tehnicar-za-implementaciju-pasivne-mreze-mz/
Zagreb i Zagrebačka,cijela Hrvatska,Roaming Networks,Koordinator projekata za implementaciju pasivne mreže (m/ž),04.08.2021.,https://www.moj-posao.net/Posao/535298/Koordinator-projekata-za-implementaciju-pasivne-mreze-mz/
Zagreb i Zagrebačka,"Poreč, Zagreb",Valamar Riviera d.d.,Web Customer Journey Manager (m/ž),28.07.2021.,https://www.moj-posao.net/Posao/535583/Web-Customer-Journey-Manager-mz/
Zagreb i Zagrebačka,Jastrebarsko,HSG Kariera d.o.o.,Kontrolor u farmaceutskoj proizvodnji (m/ž),31.07.2021.,https://www.moj-posao.net/Posao/535611/Kontrolor-u-farmaceutskoj-proizvodnji-mz/
Zagreb i Zagrebačka,Jastrebarsko,Lidl Hrvatska d.o.o. k.d.,Skladišni radnik (m/ž),27.07.2021.,https://www.moj-posao.net/Posao/535450/Skladisni-radnik-mz/
Zagreb i Zagrebačka,Zagreb,MANPOWER savjetovanje d.o.o.,Asistent voditelja projekata (m/ž),03.08.2021.,https://www.moj-posao.net/Posao/535549/Asistent-voditelja-projekata-mz/
Zagreb i Zagrebačka,Zagreb,MANPOWER savjetovanje d.o.o.,Voditelj skladišta (m/ž),03.08.2021.,https://www.moj-posao.net/Posao/535548/Voditelj-skladista-mz/
Zagreb i Zagrebačka,Zagreb,MANPOWER savjetovanje d.o.o.,Voditelj poslovnih operacija (m/ž),22.07.2021.,https://www.moj-posao.net/Posao/533728/Voditelj-poslovnih-operacija-mz/
Zagreb i Zagrebačka,Zagreb,Electus DGS d.o.o.,Prodavač (m/ž),28.07.2021.,https://www.moj-posao.net/Posao/535523/Prodavac-mz/
