Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Inozemstvo,Njemačka,AORA društvo s ograničenom odgovornošću za...,Električar/električarka,28 dana do isteka,https://www.posao.hr/oglasi/elektricar-elektricarka/710238/
Inozemstvo,Zagreb-Novi Zagreb,FRUTIKO D.O.O. ZA TRGOVINU I USLUGE,Samostalni/a knjigovođa/tkinja,9 dana do isteka,https://www.posao.hr/oglasi/samostalni-a-knjigovoda-tkinja/710026/
Inozemstvo,Nizozemska,ARKADA INTERIJERI d.o.o. za uređenje interijera,Građevinski tehničar/ka,9 dana do isteka,https://www.posao.hr/oglasi/gradevinski-tehnicar-ka/709981/
Inozemstvo,Njemačka,EMK KOŠIĆ društvo s ograničenom odgovornošću za...,Električar/električarka,28 dana do isteka,https://www.posao.hr/oglasi/elektricar-elektricarka/709980/
Inozemstvo,Zagreb-Novi Zagreb,MEGA BAR društvo s ograničenom odgovornošću za...,Radnik/ca u kozmetičkom salonu,2 dana do isteka,https://www.posao.hr/oglasi/radnik-ca-u-kozmetickom-salonu/710039/
Inozemstvo,Njemačka,"ASP društvo s ograničenom odgovornošću za montažu,...",Elektroinstalater / elektroinstalaterka - elektromonter/elektromonterka,23 dana do isteka,https://www.posao.hr/oglasi/elektroinstalater-elektroinstalaterka-elektromonter-elektromonterka/709924/
Inozemstvo,Njemačka,PROJEKT 22-16 d.o.o. za usluge,Monter/ka ventilacijskih sistema,20 dana do isteka,https://www.posao.hr/oglasi/monter-ka-ventilacijskih-sistema/709927/
Inozemstvo,Zagreb-Novi Zagreb,TUHLJANKA društvo s ograničenom odgovornošću za...,Prodavač/ica,23 dana do isteka,https://www.posao.hr/oglasi/prodavac-ica/709766/
Inozemstvo,Hrvatski Leskovac,PRIMAT - RD društvo s ograničenom odgovornošću za...,Spremač/ica,2 dana do isteka,https://www.posao.hr/oglasi/spremac-ica/709804/
Inozemstvo,Markovo Polje,"TRGOSTIL, TRGOVAČKO D.D.",Prodavač/prodavačica,8 dana do isteka,https://www.posao.hr/oglasi/prodavac-prodavacica/709767/
Inozemstvo,Buzin,Atalian Global Services Croatia d.o.o. za ekonomske i...,Spremač / spremačica,21 dan do isteka,https://www.posao.hr/oglasi/spremac-spremacica/709657/
Inozemstvo,Njemačka,FERROMONT-KR duštvo s ograničenom odgovornošću za...,Zavarivač/ica,21 dan do isteka,https://www.posao.hr/oglasi/zavarivac-ica/709449/
Inozemstvo,Njemačka,FERROMONT-KR duštvo s ograničenom odgovornošću za...,Industrijski/a mehaničar/ka,21 dan do isteka,https://www.posao.hr/oglasi/industrijski-a-mehanicar-ka/709445/
Zagrebačka,Velika Gorica,"BAUELEKTRO projektiranje, građenje, trgovina i usluge...",Voditelj/ica gradilišta,39 dana do isteka,https://www.posao.hr/oglasi/voditelj-ica-gradilista/709848/
Zagrebačka,Strmec,Deceuninck d.o.o. za proizvodnju i trgovinu,Radnik/radnica u logistici - skladištar/skladištarka,9 dana do isteka,https://www.posao.hr/oglasi/radnik-radnica-u-logistici-skladistar-skladistarka/709909/
Zagrebačka,Samobor,OSNOVNA ŠKOLA SAMOBOR,Učitelj/ica tehničke kulture,4 dana do isteka,https://www.posao.hr/oglasi/ucitelj-ica-tehnicke-kulture/709887/
Zagrebačka,Sveta Nedelja,PRIVATNA SPEC. ORD. ZA KLINIČKU CITOLOGIJU,Zdravstveno-laboratorijski tehničar/tehničarka- citoskriner,70 dana do isteka,https://www.posao.hr/oglasi/zdravstveno-laboratorijski-tehnicar-tehnicarka-citoskriner/709871/
