Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Istarska,"Zagreb, Pula",TAKKO FASHION CROATIA d.o.o.,Prodavač (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/539901/Prodavac-mz/
Istarska,"Zagreb, Rijeka, Split, Zadar, Pula, Varaždin, Osijek",C.R.T.F. Moda d.o.o.,Modni konzultant u prodaji / prodavač (m/ž),06.09.2021.,https://www.moj-posao.net/Posao/539771/Modni-konzultant-u-prodaji-prodavac-mz/
Istarska,"Zagreb, Split, Rijeka, Zadar, Osijek, Pula, Varaždin",C.R.T.F. Moda d.o.o.,Menadžer prodavaonice - Voditelj prodavaonice (m/ž),06.09.2021.,https://www.moj-posao.net/Posao/539772/Menadzer-prodavaonice-Voditelj-prodavaonice-mz/
Istarska,Pula,Globalna hrana d.o.o.,Radnik u restoranu (m/ž),29.08.2021.,https://www.moj-posao.net/Posao/539409/Radnik-u-restoranu-mz/
Istarska,Poreč,Globalna hrana d.o.o.,Radnik u restoranu (m/ž),29.08.2021.,https://www.moj-posao.net/Posao/537706/Radnik-u-restoranu-mz/
Istarska,remote,USP MARKETING CONSULTANCY B.V.,Research Analyst (m/f),25.08.2021.,https://www.moj-posao.net/Posao/539058/Research-Analyst-mf/
Dubrovačko-neretvanska,"Slavonija, Dalmacija",KSA d.o.o.,Area manager - prodajni savjetnik (m/ž),27.08.2021.,https://www.moj-posao.net/Posao/539454/Area-manager-prodajni-savjetnik-mz/
Istarska,Pula,Foodie daily restaurants,Kuhar (m/ž),01.09.2021.,https://www.moj-posao.net/Posao/539195/Kuhar-mz/
Dubrovačko-neretvanska,remote,USP MARKETING CONSULTANCY B.V.,Research Analyst (m/f),25.08.2021.,https://www.moj-posao.net/Posao/539058/Research-Analyst-mf/
Istarska,"Zagreb, Osijek, Pula, Zadar, Rijeka, Varaždin, Split",ITX Hrvatska d.o.o.,Prodavač / blagajnik (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/538705/Prodavac-blagajnik-mz/
Dubrovačko-neretvanska,cijela Hrvatska,TROMONT d.o.o.,Voditelj građevinskih radova (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/538744/Voditelj-gradjevinskih-radova-mz/
Dubrovačko-neretvanska,cijela Hrvatska,TROMONT d.o.o.,Pomoćnik voditelja građevinskih radova (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/538743/Pomocnik-voditelja-gradjevinskih-radova-mz/
Istarska,"Zagreb, Osijek, Pula, Zadar, Rijeka, Varaždin, Split",ITX Hrvatska d.o.o.,Voditelj trgovine (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/538724/Voditelj-trgovine-mz/
Istarska,"Zagreb, Osijek, Pula, Zadar, Rijeka, Varaždin, Split",ITX Hrvatska d.o.o.,Odgovorna osoba (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/538723/Odgovorna-osoba-mz/
Dubrovačko-neretvanska,cijela Hrvatska,TROMONT d.o.o.,Tesar (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/538746/Tesar-mz/
Bjelovarsko-bilogorska,"cijela Hrvatska, Traunstein, Nürnberg, Herzogenaurach, Karlsruhe, Njemačka",RADNIK d.d. Križevci,Tesar - zidar (m/ž),20.09.2021.,https://www.moj-posao.net/Posao/539593/Tesar-zidar-mz/
Istarska,"Zagreb, Osijek, Pula, Zadar, Rijeka, Varaždin, Split",ITX Hrvatska d.o.o.,Zamjenik voditelja trgovine (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/538722/Zamjenik-voditelja-trgovine-mz/
Istarska,Jadranska obala i otoci,KONZUM plus d.o.o.,Prodavač - blagajnik (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/538514/Prodavac-blagajnik-mz/
Dubrovačko-neretvanska,cijela Hrvatska,TROMONT d.o.o.,Zidar (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/538747/Zidar-mz/
Dubrovačko-neretvanska,cijela Hrvatska,TROMONT d.o.o.,Armirač (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/538748/Armirac-mz/
Bjelovarsko-bilogorska,"Zagreb, Varaždin, Čakovec, Dubrovnik, Split, Slavonski Brod, Osijek",Privredna Banka Zagreb d.d.,Java developer (m/ž),25.08.2021.,https://www.moj-posao.net/Posao/539089/Java-developer-mz/
Bjelovarsko-bilogorska,Zagreb,NOVA TV,Backend Developer (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/538698/Backend-Developer-mz/
Istarska,"Dubrovnik, Supetar, Umag, Poreč, Rovinj, Pula, Rijeka, Krk, Delnice",KONZUM plus d.o.o.,Mesar (m/ž),30.08.2021.,https://www.moj-posao.net/Posao/538518/Mesar-mz/
Istarska,cijela Hrvatska,CROWN COOL d.o.o. za trgovinu i usluge,Serviser - frigomehaničar (m/ž),12.09.2021.,https://www.moj-posao.net/Posao/538390/Serviser-frigomehanicar-mz/
Dubrovačko-neretvanska,cijela Hrvatska,TROMONT d.o.o.,Pomoćni građevinski radnik (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/538749/Pomocni-gradjevinski-radnik-mz/
Dubrovačko-neretvanska,"Šibenik, Šolta, Trogir, Kaštela, Solin, Split, Podstrana, Makarska, Orebić",RIBOLA d.o.o.,Voditelj poslovnice (m/ž),11.09.2021.,https://www.moj-posao.net/Posao/538217/Voditelj-poslovnice-mz/
Bjelovarsko-bilogorska,rad od kuće,Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem ruskog i engleskog jezika (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537839/Specijalist-korisnicke-podrske-sa-znanjem-ruskog-i-engleskog-jezika-mz/
Bjelovarsko-bilogorska,rad od kuće,Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem francuskog i engleskog jezika (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537838/Specijalist-korisnicke-podrske-sa-znanjem-francuskog-i-engleskog-jezika-mz/
