Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Bjelovarsko-bilogorska,"Međimurska, Varaždinska, Koprivničko - križevačka, Bjelovarsko - bilogorska i Sisačko - moslavačka županija",Nord Produkt d.o.o.,Terenski komercijalist (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/terenski-komercijalist-m-z/722295/
Bjelovarsko-bilogorska,remote - work form home,CCPORTER Sp. z o.o.,Sales Team Leader with Croatian and Slovenian / Macedonian (m/f),6 dana do isteka,https://www.posao.hr/oglasi/sales-team-leader-with-croatian-and-slovenian-macedonian-m-f/715889/
Bjelovarsko-bilogorska,remote - work form home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Macedonian,6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-macedonian/715892/
Bjelovarsko-bilogorska,remote - work form home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Slovenian,6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-slovenian/715891/
Bjelovarsko-bilogorska,home office,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/714115/
Bjelovarsko-bilogorska,"središnja Hrvatska, Slavonija",PRONAP Czech Republic s.r.o.,Prodajni predstavnik (m/ž),8 dana do isteka,https://www.posao.hr/oglasi/prodajni-predstavnik-m-z/722034/
Bjelovarsko-bilogorska,Remote Work ,AA Euro Croatia d.o.o.,Senior Network Engineer (m/f),30 dana do isteka,https://www.posao.hr/oglasi/senior-network-engineer-m-f/723061/
Bjelovarsko-bilogorska,Remote Work,AA Euro Croatia d.o.o.,Network Engineer (m/f),30 dana do isteka,https://www.posao.hr/oglasi/network-engineer-m-f/723060/
Bjelovarsko-bilogorska,Remote Work ,AA Euro Croatia d.o.o.,Network Operations Centre Engineer – Tier 2 (m/f),30 dana do isteka,https://www.posao.hr/oglasi/network-operations-centre-engineer-tier-2-m-f/723059/
Bjelovarsko-bilogorska,Garešnica,Mamut Fortis d.o.o.,Operater / Blagajnik u automat klubu za igre na sreću (m/ž),4 dana do isteka,https://www.posao.hr/oglasi/operater-blagajnik-u-automat-klubu-za-igre-na-srecu-m-z/701304/
Bjelovarsko-bilogorska,"Međimurska, Varaždinska,...",Nord Produkt d.o.o.,Terenski komercijalist (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/terenski-komercijalist-m-z/722295/
Bjelovarsko-bilogorska,Hrvatska ,CCC Hrvatska d.o.o.,HR business partner (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/hr-business-partner-m-z/722306/
Bjelovarsko-bilogorska,"Zagreb, cijela Hrvatska",Super igra d.o.o.,Serviser - Mehatroničar (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/serviser-mehatronicar-m-z/722292/
Bjelovarsko-bilogorska,Rad od kuće (Remote Work),AA Euro Croatia d.o.o.,Inside Sales Executive (m/f),24 dana do isteka,https://www.posao.hr/oglasi/inside-sales-executive-m-f/722023/
Bjelovarsko-bilogorska,Remote Work,AA Euro Croatia d.o.o.,Sitecore Architect (m/f),23 dana do isteka,https://www.posao.hr/oglasi/sitecore-architect-m-f/721813/
Bjelovarsko-bilogorska,Remote,PhoneArena,Content Creator / Tech Journalist (m/f),2 dana do isteka,https://www.posao.hr/oglasi/content-creator-tech-journalist-m-f/720639/
Varaždinska,"Međimurska, Varaždinska, Koprivničko - križevačka, Bjelovarsko - bilogorska i Sisačko - moslavačka županija",Nord Produkt d.o.o.,Terenski komercijalist (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/terenski-komercijalist-m-z/722295/
Varaždinska,Varaždin,Energo-S d.o.o.,Monter strojarskih instalacija grijanja i hlađenja (m/ž),4 dana do isteka,https://www.posao.hr/oglasi/monter-strojarskih-instalacija-grijanja-i-hladenja-m-z/718995/
Varaždinska,Varaždin,Energo-S d.o.o.,Serviser klima uređaja (m/ž),4 dana do isteka,https://www.posao.hr/oglasi/serviser-klima-uredaja-m-z/718996/
Varaždinska,remote - work form home,CCPORTER Sp. z o.o.,Sales Team Leader with Croatian and Slovenian / Macedonian (m/f),6 dana do isteka,https://www.posao.hr/oglasi/sales-team-leader-with-croatian-and-slovenian-macedonian-m-f/715889/
Varaždinska,remote - work form home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Macedonian,6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-macedonian/715892/
Varaždinska,remote - work form home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Slovenian,6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-slovenian/715891/
Varaždinska,home office,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/714115/
Varaždinska,"Varaždin, Osijek",NTH Mobile d.o.o.,Customer care agent za slovački jezik (m/ž),11 dana do isteka,https://www.posao.hr/oglasi/customer-care-agent-za-slovacki-jezik-m-z/722785/
Varaždinska,"Varaždin, Osijek",NTH Mobile d.o.o.,Technical Operations Manager (m/ž),1 dan do isteka,https://www.posao.hr/oglasi/technical-operations-manager-m-z/720645/
Varaždinska,Remote Work ,AA Euro Croatia d.o.o.,Senior Network Engineer (m/f),30 dana do isteka,https://www.posao.hr/oglasi/senior-network-engineer-m-f/723061/
Varaždinska,Remote Work,AA Euro Croatia d.o.o.,Network Engineer (m/f),30 dana do isteka,https://www.posao.hr/oglasi/network-engineer-m-f/723060/
Varaždinska,Remote Work ,AA Euro Croatia d.o.o.,Network Operations Centre Engineer – Tier 2 (m/f),30 dana do isteka,https://www.posao.hr/oglasi/network-operations-centre-engineer-tier-2-m-f/723059/
Varaždinska,"Međimurska, Varaždinska,...",Nord Produkt d.o.o.,Terenski komercijalist (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/terenski-komercijalist-m-z/722295/
Varaždinska,Hrvatska ,CCC Hrvatska d.o.o.,HR business partner (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/hr-business-partner-m-z/722306/
Varaždinska,Trnovec Bartolovečki,Boxmark Leather d.o.o.,Tapetar (m/ž),2 dana do isteka,https://www.posao.hr/oglasi/tapetar-m-z/722307/
Varaždinska,Trnovec Bartolovečki,Boxmark Leather d.o.o.,Skladištar u skladištu kože (m/ž),2 dana do isteka,https://www.posao.hr/oglasi/skladistar-u-skladistu-koze-m-z/722305/
Varaždinska,Trnovec Bartolovečki,Boxmark Leather d.o.o.,Skladišni radnik – viljuškarist (m/ž),2 dana do isteka,https://www.posao.hr/oglasi/skladisni-radnik-viljuskarist-m-z/722304/
Varaždinska,"Zagreb, cijela Hrvatska",Super igra d.o.o.,Serviser - Mehatroničar (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/serviser-mehatronicar-m-z/722292/
Virovitičko-podravska,remote - work form home,CCPORTER Sp. z o.o.,Sales Team Leader with Croatian and Slovenian / Macedonian (m/f),6 dana do isteka,https://www.posao.hr/oglasi/sales-team-leader-with-croatian-and-slovenian-macedonian-m-f/715889/
Virovitičko-podravska,remote - work form home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Macedonian,6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-macedonian/715892/
Virovitičko-podravska,remote - work form home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Slovenian,6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-slovenian/715891/
Virovitičko-podravska,home office,CCPORTER Sp. z o.o.,Sales Specialist with Croatian (m/f),6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-with-croatian-m-f/714115/
Virovitičko-podravska,"središnja Hrvatska, Slavonija",PRONAP Czech Republic s.r.o.,Prodajni predstavnik (m/ž),8 dana do isteka,https://www.posao.hr/oglasi/prodajni-predstavnik-m-z/722034/
Virovitičko-podravska,Remote Work ,AA Euro Croatia d.o.o.,Senior Network Engineer (m/f),30 dana do isteka,https://www.posao.hr/oglasi/senior-network-engineer-m-f/723061/
Virovitičko-podravska,Remote Work,AA Euro Croatia d.o.o.,Network Engineer (m/f),30 dana do isteka,https://www.posao.hr/oglasi/network-engineer-m-f/723060/
Virovitičko-podravska,Remote Work ,AA Euro Croatia d.o.o.,Network Operations Centre Engineer – Tier 2 (m/f),30 dana do isteka,https://www.posao.hr/oglasi/network-operations-centre-engineer-tier-2-m-f/723059/
Virovitičko-podravska,Hrvatska ,CCC Hrvatska d.o.o.,HR business partner (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/hr-business-partner-m-z/722306/
Virovitičko-podravska,"Zagreb, cijela Hrvatska",Super igra d.o.o.,Serviser - Mehatroničar (m/ž),6 dana do isteka,https://www.posao.hr/oglasi/serviser-mehatronicar-m-z/722292/
Virovitičko-podravska,Rad od kuće (Remote Work),AA Euro Croatia d.o.o.,Inside Sales Executive (m/f),24 dana do isteka,https://www.posao.hr/oglasi/inside-sales-executive-m-f/722023/
Virovitičko-podravska,Remote Work,AA Euro Croatia d.o.o.,Sitecore Architect (m/f),23 dana do isteka,https://www.posao.hr/oglasi/sitecore-architect-m-f/721813/
Virovitičko-podravska,Remote,PhoneArena,Content Creator / Tech Journalist (m/f),2 dana do isteka,https://www.posao.hr/oglasi/content-creator-tech-journalist-m-f/720639/
Virovitičko-podravska,Rad od kuće (Remote Work),AA Euro Croatia d.o.o.,Full Stack / Backend Developer (m/f),18 dana do isteka,https://www.posao.hr/oglasi/full-stack-backend-developer-m-f/720218/
Virovitičko-podravska,Europe / Home-Office /...,yoummday GmbH,Home-Office Tätigkeit ab sofort // Teilzeit / Vollzeit // Sales & Service // (m/w/d),7 dana do isteka,https://www.posao.hr/oglasi/home-office-tatigkeit-ab-sofort-teilzeit-vollzeit-sales-service-m-w-d/705062/
Grad Zagreb,Zagreb,Strabag BRVZ d.o.o. za usluge,Senior Software Developer (ž/m),31 dan do isteka,https://www.posao.hr/oglasi/senior-software-developer-z-m/722779/
Grad Zagreb,Zagreb,Amrest Adria d.o.o.,Voditelj smjene (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/voditelj-smjene-m-z/722463/
Grad Zagreb,Zagreb,Amrest Adria d.o.o.,Djelatnik u restoranu (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/djelatnik-u-restoranu-m-z/722461/
Grad Zagreb,Zagreb,ProTrade d.o.o.,Zaštitar / Tehničar (m/ž),9 dana do isteka,https://www.posao.hr/oglasi/zastitar-tehnicar-m-z/722312/
Grad Zagreb,Samobor,Nord Produkt d.o.o.,Planer proizvodnje (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/planer-proizvodnje-m-z/722293/
Grad Zagreb,Zagreb,Nord Produkt d.o.o.,Prodavač specijalist (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/prodavac-specijalist-m-z/722296/
Grad Zagreb,Zagreb i Zagrebačka županija,Nord Produkt d.o.o.,Monter kuhinja (m/ž),10 dana do isteka,https://www.posao.hr/oglasi/monter-kuhinja-m-z/722297/
Grad Zagreb,Zagreb,Medtronic,Regulatory Affairs Specialist (m/f),24 dana do isteka,https://www.posao.hr/oglasi/regulatory-affairs-specialist-m-f/722042/
Grad Zagreb,Zagreb,Medtronic,CRHF Sales Representative / Technical Consultant (m/f),24 dana do isteka,https://www.posao.hr/oglasi/crhf-sales-representative-technical-consultant-m-f/722041/
Grad Zagreb,"Split, Zagreb",Brodomerkur d.d.,Inženjer u prodaji (m/ž),4 dana do isteka,https://www.posao.hr/oglasi/inzenjer-u-prodaji-m-z/721392/
Grad Zagreb,Zagreb,Strabag BRVZ d.o.o. za usluge,Senior Software Developer (m/w),21 dan do isteka,https://www.posao.hr/oglasi/senior-software-developer-m-w/721143/
Grad Zagreb,Zagreb,Medtronic,Sales Representative (m/f) - Surgical Innovations (EMID/EBD),17 dana do isteka,https://www.posao.hr/oglasi/sales-representative-m-f-surgical-innovations-emid-ebd/720939/
Grad Zagreb,Zagreb,Strabag BRVZ d.o.o. za usluge,Security Analyst (m/ž),16 dana do isteka,https://www.posao.hr/oglasi/security-analyst-m-z/720415/
Grad Zagreb,Zagreb,Strabag d.d. Glavna podružnica za građevinarstvo Zagreb,Deputy Commercial Group Manager (m/f),11 dana do isteka,https://www.posao.hr/oglasi/deputy-commercial-group-manager-m-f/719823/
Grad Zagreb,Zagreb,Strabag BRVZ d.o.o. za usluge,Mitarbeiter / Mitarbeiterin internationale Client - Software - Bereitstellung,4 dana do isteka,https://www.posao.hr/oglasi/mitarbeiter-mitarbeiterin-internationale-client-software-bereitstellung/718773/
Grad Zagreb,remote - work form home,CCPORTER Sp. z o.o.,Sales Team Leader with Croatian and Slovenian / Macedonian (m/f),6 dana do isteka,https://www.posao.hr/oglasi/sales-team-leader-with-croatian-and-slovenian-macedonian-m-f/715889/
Grad Zagreb,remote - work form home,CCPORTER Sp. z o.o.,Sales Specialist (m/f) with Croatian and Macedonian,6 dana do isteka,https://www.posao.hr/oglasi/sales-specialist-m-f-with-croatian-and-macedonian/715892/
