Zupanija,Mjesto,Tvrtka,Pozicija,Vrijedi_do,Link_za_posao
Inozemstvo,"Vukovar, Laupheim, Njemačka",Electus DGS d.o.o.,Radnik na završnoj doradi proizvoda (m/ž),26.08.2021.,https://www.moj-posao.net/Posao/538333/Radnik-na-zavrsnoj-doradi-proizvoda-mz/
Inozemstvo,"Laško, Slovenija","VALSIMONT proizvodnja in storitve, d.o.o.",Monter pvc stavbnega pohištva in senčil (m/ž),08.09.2021.,https://www.moj-posao.net/Posao/537803/Monter-pvc-stavbnega-pohistva-in-sencil-mz/
Virovitičko-podravska,Sjeverna i istočna Hrvatska,TECE d.o.o.,Prodajni savjetnik (m/ž),26.08.2021.,https://www.moj-posao.net/Posao/538051/Prodajni-savjetnik-mz/
Zadarska,"Zagreb, rad od kuće",Transcom Worldwide,Agent u korisničkoj podršci na slovačkom jeziku (m/ž),10.09.2021.,https://www.moj-posao.net/Posao/537997/Agent-u-korisnickoj-podrsci-na-slovackom-jeziku-mz/
Zagreb i Zagrebačka,Zagreb,MANPOWER savjetovanje d.o.o.,Team leader (m/f),03.09.2021.,https://www.moj-posao.net/Posao/538372/Team-leader-mf/
Inozemstvo,Irska,Morehampton Foods LTD,Bakery Assistant (m/f),15.08.2021.,https://www.moj-posao.net/Posao/534774/Bakery-Assistant-mf/
Inozemstvo,Irska,Morehampton Foods LTD,Kitchen Assistant (m/f),15.08.2021.,https://www.moj-posao.net/Posao/534800/Kitchen-Assistant-mf/
Virovitičko-podravska,Hrvatska,Intraffico d.o.o. za trgovinu,Terenski prodajni predstavnik (m/ž),17.08.2021.,https://www.moj-posao.net/Posao/537740/Terenski-prodajni-predstavnik-mz/
Zadarska,rad od kuće,Transcom Worldwide,Administrativni agent u službi za korisnike na njemačkom jeziku (m/ž),10.09.2021.,https://www.moj-posao.net/Posao/537996/Administrativni-agent-u-sluzbi-za-korisnike-na-njemackom-jeziku-mz/
Zadarska,rad od kuće,Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem ruskog i engleskog jezika (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537839/Specijalist-korisnicke-podrske-sa-znanjem-ruskog-i-engleskog-jezika-mz/
Zagreb i Zagrebačka,Zagreb,MANPOWER savjetovanje d.o.o.,Customer Care Specialist sa znanjem njemačkog jezika (m/ž),23.08.2021.,https://www.moj-posao.net/Posao/536467/Customer-Care-Specialist-sa-znanjem-njemackog-jezika-mz/
Zagreb i Zagrebačka,"Zagreb, Rijeka",MANPOWER savjetovanje d.o.o.,Customer Care con italiano (m/f),20.08.2021.,https://www.moj-posao.net/Posao/536468/Customer-Care-con-italiano-mf/
Inozemstvo,Irska,Morehampton Foods LTD,Commi Chef (m/f),15.08.2021.,https://www.moj-posao.net/Posao/534799/Commi-Chef-mf/
Virovitičko-podravska,"Zagreb, Varaždin, rad od kuće","CITY CONNECT, društvo s ograničenom odgovornošću za usluge",Specijalist korisničke podrške na njemačkom jeziku (m/ž),16.08.2021.,https://www.moj-posao.net/Posao/536670/Specijalist-korisnicke-podrske-na-njemackom-jeziku-mz/
Zadarska,rad od kuće,Electus DGS d.o.o.,Specijalist korisničke podrške sa znanjem francuskog i engleskog jezika (m/ž),31.08.2021.,https://www.moj-posao.net/Posao/537838/Specijalist-korisnicke-podrske-sa-znanjem-francuskog-i-engleskog-jezika-mz/
Zadarska,"Zagreb, remote",MIND Solutions d.o.o.,IT Technician (m/f),23.08.2021.,https://www.moj-posao.net/Posao/537457/IT-Technician-mf/
Zagreb i Zagrebačka,Zagreb,MANPOWER savjetovanje d.o.o.,Solution Coach (m/f),23.08.2021.,https://www.moj-posao.net/Posao/537777/Solution-Coach-mf/
Zagreb i Zagrebačka,Zagreb,MANPOWER savjetovanje d.o.o.,Workforce Manager (m/f),23.08.2021.,https://www.moj-posao.net/Posao/537774/Workforce-Manager-mf/
Vukovarsko-srijemska,"Vukovar, Laupheim, Njemačka",Electus DGS d.o.o.,Radnik na završnoj doradi proizvoda (m/ž),26.08.2021.,https://www.moj-posao.net/Posao/538333/Radnik-na-zavrsnoj-doradi-proizvoda-mz/
Inozemstvo,Irska,Morehampton Foods LTD,Food Packing Assistant (m/f),15.08.2021.,https://www.moj-posao.net/Posao/534802/Food-Packing-Assistant-mf/
Šibensko-kninska,"Šibenik, Rogoznica",Tatami trade d.o.o.,Recepcionar / Voditelj recepcije (m/ž),26.08.2021.,https://www.moj-posao.net/Posao/538309/Recepcionar-Voditelj-recepcije-mz/
Virovitičko-podravska,"Croatia, remote work",Cloudsense d.o.o.,Junior Technical Consultant (m/f),12.08.2021.,https://www.moj-posao.net/Posao/536667/Junior-Technical-Consultant-mf/
Zadarska,"Zadar, Šibenik, Dubrovnik",Smart Flex d.o.o.,Prodajni savjetnik u poslovnici telekoma (m/ž),16.08.2021.,https://www.moj-posao.net/Posao/537487/Prodajni-savjetnik-u-poslovnici-telekoma-mz/
Zagreb i Zagrebačka,"Zagreb, Zaprešić, Pula, Rijeka, Čakovec, Varaždin",Sport Vision,Prodavač (m/ž),26.08.2021.,https://www.moj-posao.net/Posao/538319/Prodavac-mz/
Zagreb i Zagrebačka,Zagreb,HSG Kariera d.o.o.,HR Regruter (m/ž),20.08.2021.,https://www.moj-posao.net/Posao/538264/HR-Regruter-mz/
