Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Zagreb i Zagrebačka,Zagreb,DEKRA za privremeno zapošljavanje d.o.o.,Vozač / Dostavljač (m/ž),06.11.2020.,https://www.moj-posao.net/Posao/498188/Vozac-Dostavljac-mz/
Zagreb i Zagrebačka,"Zagreb, Velika Gorica",DEKRA za privremeno zapošljavanje d.o.o.,Prodavač delikatesa (m/ž),02.11.2020.,https://www.moj-posao.net/Posao/497437/Prodavac-delikatesa-mz/
Zagreb i Zagrebačka,"Zagreb, Velika Gorica",DEKRA za privremeno zapošljavanje d.o.o.,Prodavač (m/ž),02.11.2020.,https://www.moj-posao.net/Posao/497436/Prodavac-mz/
Zagreb i Zagrebačka,Zagreb,KENTBANK d.d.,Suradnik u odjelu za praćenje usklađenosti (m/ž),02.11.2020.,https://www.moj-posao.net/Posao/498160/Suradnik-u-odjelu-za-pracenje-uskladjenosti-mz/
Zagreb i Zagrebačka,Zagreb,KENTBANK d.d.,Pravnik (m/ž),02.11.2020.,https://www.moj-posao.net/Posao/498159/Pravnik-mz/
Zagreb i Zagrebačka,Zagreb,KENTBANK d.d.,Samostalni projektant - programer (m/ž),02.11.2020.,https://www.moj-posao.net/Posao/498158/Samostalni-projektant-programer-mz/
Zagreb i Zagrebačka,Zagreb,KENTBANK d.d.,Suradnik za naplatu (m/ž),02.11.2020.,https://www.moj-posao.net/Posao/498162/Suradnik-za-naplatu-mz/
Zagreb i Zagrebačka,Zagreb,KENTBANK d.d.,Asistent voditelja poslovnog odnosa (m/ž),02.11.2020.,https://www.moj-posao.net/Posao/498161/Asistent-voditelja-poslovnog-odnosa-mz/
Splitsko-dalmatinska,"cijela Hrvatska, inozemstvo",INSTITUT IGH d.d.,Glavni nadzorni inženjer - FIDIC inženjer (m/ž),02.11.2020.,https://www.moj-posao.net/Posao/498139/Glavni-nadzorni-inzenjer-FIDIC-inzenjer-mz/
Zagreb i Zagrebačka,Zagreb,Sedam IT d.o.o.,Mlađi voditelj projekata (m/ž),09.11.2020.,https://www.moj-posao.net/Posao/498138/Mladji-voditelj-projekata-mz/
